Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-04-09T11:20:16-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260409P06680000,Equity Option,Bought 2 SPX 04/09/26 Put 6680.00 @ 0.87,-174.00,2,-87.00,-2.00,-1.45,100,SPXW,SPX,4/09/26,6680,PUT,452995459,-177.45,USD
2026-04-08T12:07:03-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260408P06680000,Equity Option,Sold 2 SPX 04/08/26 Put 6680.00 @ 1.72,344.00,2,172.00,0.00,-1.46,100,SPXW,SPX,4/08/26,6680,PUT,452686040,342.54,USD
2026-04-08T12:07:03-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260408P06720000,Equity Option,Bought 2 SPX 04/08/26 Put 6720.00 @ 4.62,-924.00,2,-462.00,0.00,-1.45,100,SPXW,SPX,4/08/26,6720,PUT,452686040,-925.45,USD
2026-04-08T10:39:48-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260408P06720000,Equity Option,Sold 1 SPX 04/08/26 Put 6720.00 @ 5.93,593.00,1,593.00,-1.00,-0.72,100,SPXW,SPX,4/08/26,6720,PUT,452567556,591.28,USD
2026-04-08T10:39:48-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260408P06680000,Equity Option,Bought 1 SPX 04/08/26 Put 6680.00 @ 3.03,-303.00,1,-303.00,-1.00,-0.72,100,SPXW,SPX,4/08/26,6680,PUT,452567556,-304.72,USD
2026-04-08T10:39:48-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260408P06720000,Equity Option,Sold 1 SPX 04/08/26 Put 6720.00 @ 5.93,593.00,1,593.00,-1.00,-0.72,100,SPXW,SPX,4/08/26,6720,PUT,452567556,591.28,USD
2026-04-08T10:39:48-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260408P06680000,Equity Option,Bought 1 SPX 04/08/26 Put 6680.00 @ 3.03,-303.00,1,-303.00,-1.00,-0.72,100,SPXW,SPX,4/08/26,6680,PUT,452567556,-304.72,USD
2026-04-07T14:55:51-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260407P06460000,Equity Option,Sold 2 SPX 04/07/26 Put 6460.00 @ 0.12,24.00,2,12.00,0.00,-1.46,100,SPXW,SPX,4/07/26,6460,PUT,452368492,22.54,USD
2026-04-07T14:55:51-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260407C06660000,Equity Option,Sold 2 SPX 04/07/26 Call 6660.00 @ 0.60,120.00,2,60.00,0.00,-1.46,100,SPXW,SPX,4/07/26,6660,CALL,452368492,118.54,USD
2026-04-07T14:55:51-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260407P06500000,Equity Option,Bought 2 SPX 04/07/26 Put 6500.00 @ 0.22,-44.00,2,-22.00,0.00,-1.45,100,SPXW,SPX,4/07/26,6500,PUT,452368492,-45.45,USD
2026-04-07T14:55:51-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260407C06620000,Equity Option,Bought 2 SPX 04/07/26 Call 6620.00 @ 2.25,-450.00,2,-225.00,0.00,-1.45,100,SPXW,SPX,4/07/26,6620,CALL,452368492,-451.45,USD
2026-04-07T11:38:32-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260407C06660000,Equity Option,Bought 2 SPX 04/07/26 Call 6660.00 @ 1.33,-266.00,2,-133.00,-2.00,-1.45,100,SPXW,SPX,4/07/26,6660,CALL,452264444,-269.45,USD
2026-04-07T11:38:32-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260407C06620000,Equity Option,Sold 2 SPX 04/07/26 Call 6620.00 @ 3.93,786.00,2,393.00,-2.00,-1.46,100,SPXW,SPX,4/07/26,6620,CALL,452264444,782.54,USD
2026-04-07T11:05:05-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260407P06460000,Equity Option,Bought 2 SPX 04/07/26 Put 6460.00 @ 1.37,-274.00,2,-137.00,-2.00,-1.45,100,SPXW,SPX,4/07/26,6460,PUT,452231617,-277.45,USD
2026-04-07T11:05:05-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260407P06500000,Equity Option,Sold 2 SPX 04/07/26 Put 6500.00 @ 4.07,814.00,2,407.00,-2.00,-1.46,100,SPXW,SPX,4/07/26,6500,PUT,452231617,810.54,USD
2026-04-04T18:12:17-0300,Money Movement,Deposit,,,,Digital Asset Fund Conversion Deposit of 986.31 USDC/USD,983.35,0,,--,0.00,,,,,,,,983.35,USD
2026-04-02T18:00:00-0300,Money Movement,Deposit,,,,Wire Funds Received,"7,030.41",0,,--,0.00,,,,,,,,"7,030.41",USD
2026-03-28T15:56:37-0300,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,0.07,0,,--,0.00,,,,,,,,0.07,USD
2026-03-27T15:12:41-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260327P06310000,Equity Option,Sold 2 SPX 03/27/26 Put 6310.00 @ 0.82,164.00,2,82.00,0.00,-1.46,100,SPXW,SPX,3/27/26,6310,PUT,450246733,162.54,USD
2026-03-27T15:12:41-0300,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  260327C06555000,Equity Option,Sold 2 SPX 03/27/26 Call 6555.00 @ 0.22,44.00,2,22.00,0.00,-1.46,100,SPXW,SPX,3/27/26,6555,CALL,450246733,42.54,USD
2026-03-27T15:12:41-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260327P06350000,Equity Option,Bought 2 SPX 03/27/26 Put 6350.00 @ 4.06,-812.00,2,-406.00,0.00,-1.45,100,SPXW,SPX,3/27/26,6350,PUT,450246733,-813.45,USD
2026-03-27T15:12:41-0300,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  260327C06515000,Equity Option,Bought 2 SPX 03/27/26 Call 6515.00 @ 0.38,-76.00,2,-38.00,0.00,-1.45,100,SPXW,SPX,3/27/26,6515,CALL,450246733,-77.45,USD
2026-03-27T10:51:52-0300,Trade,Buy to Open,BUY_TO_OPEN,SPXW  260327C06555000,Equity Option,Bought 2 SPX 03/27/26 Call 6555.00 @ 1.32,-264.00,2,-132.00,-2.00,-1.45,100,SPXW,SPX,3/27/26,6555,CALL,450043232,-267.45,USD
2026-03-27T10:51:52-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260327C06515000,Equity Option,Sold 2 SPX 03/27/26 Call 6515.00 @ 2.87,574.00,2,287.00,-2.00,-1.46,100,SPXW,SPX,3/27/26,6515,CALL,450043232,570.54,USD
2026-03-27T10:38:16-0300,Trade,Sell to Open,SELL_TO_OPEN,SPXW  260327P06350000,Equity Option,Sold 1 SPX 03/27/26 Put 6350.00 @ 3.27,327.00,1,327.00,-1.00,-0.72,100,SPXW,SPX,3/27/26,6350,PUT,450021795,325.28,USD
